Fecha;Asunto;Envíos;Aperturas;Tasa de aperturas
16-dic-2023;?? Aprovecha al máximo tu Prima con estas ofertas especiales.;56493;7588;13.43%
17-dic-2023;En Promo Prima ahorra hasta un 70% en tu actualización profesional.;298687;43069;14.42%
17-dic-2023;En Promo Prima ahorra hasta un 70% en tu actualización profesional. ??;56596;8230;14.54%
18-dic-2023;¡Las ofertas están por terminar! Aprovecha YA precios desde 32mil.;290209;44398;15.30%
18-dic-2023;¡Las ofertas están por terminar! ?? Aprovecha YA precios desde 32mil.;56646;9479;16.73%
18-dic-2023;¡Último día de Promo Prima! Compra YA hasta con 70% de DCTO.;290296;40892;14.09%
18-dic-2023;40% de DCTO. para que reactives tu Suscripción HOY. ??;3093;584;18.88%
18-dic-2023;40% de DCTO. para que renueves tu Suscripción HOY. ??;1727;357;20.67%
18-dic-2023;40% de DCTO. para que renueves tu Suscripción HOY. ??;770;149;19.35%
18-dic-2023;Tienes un descuento de $345.000 para usar en tu upgrade. ??;2270;562;24.76%
18-dic-2023;Top 3 de los más buscados de nuestra Promo Prima.;290250;28467;9.81%
18-dic-2023;?? ¡Última oportunidad! Aprovecha HOY 50% de DCTO. para reactivar tu Suscripción.;816;143;17.52%
18-dic-2023;?? ¡Última oportunidad! Aprovecha HOY 50% de DCTO. para renovar tu Suscripción.;2066;433;20.96%
18-dic-2023;?? ¡Última oportunidad! Aprovecha HOY 50% de DCTO. para renovar tu Suscripción.;936;193;20.62%
18-dic-2023;?? ¡Última oportunidad! Aprovecha HOY 60% de DCTO. para pasarte la Oro24.;1362;294;21.59%
18-dic-2023;?? ¡Último día de Promo Prima! Compra YA hasta con 70% de DCTO.;51665;6678;12.93%
19-dic-2023;ESTO es lo que tus colegas están buscando HOY.;298320;40753;13.66%
19-dic-2023;Llegó el momento de redimir la Suscripción que te regaló Siigo.;41;22;53.66%
19-dic-2023;Porque tú lo pediste: ¡Extendimos la Promo Prima y los descuentos hasta del 70%!;298379;34387;11.52%
19-dic-2023;Porque tú lo pediste: ¡Extendimos la Promo Prima y los descuentos hasta del 70%! ??;56434;8468;15.01%
19-dic-2023;?? ESTO es lo que tus colegas están buscando HOY.;56639;10145;17.91%
20-dic-2023;¿Apenas te pagaron la Prima? HASTA HOY puedes adquirir tu Suscripción con 50% DCTO.;298233;42235;14.16%
20-dic-2023;¿Apenas te pagaron la Prima? ???? HASTA HOY puedes adquirir tu suscripción con 50% de DCTO.;41881;5105;12.19%
20-dic-2023;¿Apenas te pagaron la Prima? ???? HASTA HOY puedes aprovechar nuestras ofertas.;10048;2154;21.44%
20-dic-2023;¿Apenas te pagaron la Prima? ???? HASTA HOY puedes reactivar tu Suscripción con 50% DCTO.;809;129;15.95%
20-dic-2023;¿Apenas te pagaron la Prima? ???? HASTA HOY puedes renovar tu Suscripción con 50% DCTO.;898;180;20.04%
21-dic-2023;Actualiza tu herramienta de revisoría para un cierre contable impecable.;819;223;27.23%
21-dic-2023;"Descubre lo que elegí para ti que te gusta actualizarte en ""Cierre Contable"".";282;90;31.91%
21-dic-2023;Ideas para prepararte para la declaración de renta de personas jurídicas AG 2023.;944;243;25.74%
21-dic-2023;Lo NUEVO de nuestras Suscripciones es justo lo que necesitas para el próximo año.;2015;433;21.49%
21-dic-2023;Lo NUEVO de nuestras Suscripciones es justo lo que necesitas para el próximo año.;898;198;22.05%
21-dic-2023;Mi recomendado para que sea tu próximo libro.;601;186;30.95%
21-dic-2023;Obtén nuestro Libro Blanco y te lo enviamos SIN COSTO.;5754;1333;23.17%
21-dic-2023;Te regalamos $310mil para tu actualización profesional del 2024.;3236;746;23.05%
22-dic-2023;5: Paso a paso para el cierre contable y fiscal 2023.;1725;339;19.65%
22-dic-2023;Conoce los beneficios de reactivarte antes de que termine el 2023.;832;160;19.23%
22-dic-2023;Este Excel están usando los revisores fiscales para elaborar sus dictámenes.;1201;222;18.48%
22-dic-2023;Este Excel y sus macros harán su magia y realizarán los análisis financieros por ti.;2080;388;18.65%
22-dic-2023;Ideas para prepararte para la declaración de renta de personas jurídicas AG 2023.;3240;556;17.16%
22-dic-2023;Realiza el cierre contable de manera exitosa siguiendo nuestra Ruta de Actualización.;297367;39411;13.25%
22-dic-2023;Realiza el cierre contable de manera exitosa siguiendo nuestra Ruta de Actualización.;31646;3632;11.48%
23-dic-2023;Esta Navidad regálate una herramienta que potencie tu éxito profesional.;297778;37128;12.47%
23-dic-2023;?? Esta Navidad regálate una herramienta que potencie tu éxito profesional.;44735;5271;11.78%
23-dic-2023;???? Esta Navidad te regalamos $310mil para que mejores tu Suscripción y sumes beneficios.;2993;559;18.68%
23-dic-2023;???? Esta Navidad te regalamos $580mil para que sumes días con más beneficios.;866;148;17.09%
23-dic-2023;???? Esta Navidad te regalamos hasta $580mil para que impulses tu éxito profesional.;2733;396;14.49%
23-dic-2023;???? Esta Navidad te regalamos hasta $580mil para que impulses tu éxito profesional.;3830;560;14.62%
23-dic-2023;???? Esta Navidad te regalamos hasta $660mil para que impulses tu éxito profesional.;1865;297;15.92%
24-dic-2023;¿Falta tu regalo? Aprovecha hasta 70% de DCTO. para comprártelo.;297695;38698;13.00%
24-dic-2023;¿Falta tu regalo? Aprovecha hasta 70% de DCTO. para comprártelo. ??;57048;6714;11.77%
25-dic-2023;¡Feliz Navidad! Tenemos grandes descuentos para ti. Entra y conoce más.;297623;34793;11.69%
26-dic-2023;Ahorra hasta $1 millón con esta propuesta única que tenemos para ti.;2919;606;20.76%
26-dic-2023;Conoce los beneficios de renovar antes de que termine el 2023.;850;192;22.59%
26-dic-2023;Conoce los beneficios de renovar o mejorar tu Suscripción antes de que termine el 2023.;1855;461;24.85%
26-dic-2023;Descarga nuestra herramienta avanzada en Excel Impuesto Diferido y evita complicaciones.;1915;424;22.14%
26-dic-2023;Este Excel están usando los revisores fiscales para elaborar sus dictámenes.;1134;316;27.87%
26-dic-2023;Este Excel y sus macros harán su magia y realizarán los análisis financieros por ti.;1347;335;24.87%
26-dic-2023;Ideas para prepararte para la declaración de renta de personas jurídicas AG 2023.;1383;295;21.33%
27-dic-2023;3: Vuelve a prepararte para el cierre de año con nuestro Libro Blanco.;52;5;9.62%
27-dic-2023;4: Actualizar tu Excel será CLAVE para el cálculo del impuesto diferido de este año.;34;9;26.47%
27-dic-2023;Aprovecha los últimos días del año para reactivarte con ventajas especiales.;812;138;17.00%
27-dic-2023;Descubre cómo miles de colegas están ahorrando HORAS de trabajo.;297365;33014;11.10%
27-dic-2023;Descubre cómo miles de colegas están ahorrando HORAS de trabajo.;39071;4463;11.42%
27-dic-2023;Elegí esto para ti si quieres ponerte al día con el cierre contable 2023.;94;25;26.60%
27-dic-2023;Mejora tu desempeño en el cierre contable: Actualízate a la versión 6.0 de tu herramienta de revisoría.;546;109;19.96%
27-dic-2023;Tienes acceso a la preventa exclusiva de los Precios Que Parecen Inocentadas.;57;17;29.82%
28-dic-2023;¡Ahora tienes hasta 74% de DCTO. para tu Upgrade! ?? Parece una inocentada, pero NO LO ES.;2832;553;19.53%
28-dic-2023;¡Hasta 65% de DCTO. en nuestras Suscripciones! Parece una inocentada, pero NO LO ES.;297243;32177;10.83%
28-dic-2023;¡Hasta 65% de DCTO. en nuestras Suscripciones! ?? Parece una inocentada, pero NO LO ES.;45562;5128;11.25%
28-dic-2023;¡Hasta 65% de DCTO. para reactivarte! ?? Parece una inocentada, pero NO LO ES.;2714;412;15.18%
28-dic-2023;¡Hasta 65% de DCTO. para renovar o mejorar! ?? Parece una inocentada, pero NO LO ES.;1866;333;17.85%
28-dic-2023;¡Hasta 65% de DCTO. para renovar! ?? Parece una inocentada, pero NO LO ES.;864;167;19.33%
28-dic-2023;¡HOY Hasta 75% de DCTO.! ?? Parece una inocentada, pero NO LO ES.;8086;1679;20.76%
28-dic-2023;Herramientas en Excel con descuentos increíbles y reales, nada de inocentadas.;297208;34006;11.44%
28-dic-2023;Herramientas en Excel con descuentos increíbles y reales, nada de inocentadas. ???;57816;8645;14.95%
28-dic-2023;No es broma: 75% de DCTO. en productos para el cierre contable.;297141;36093;12.15%
28-dic-2023;No es broma: ?? 75% de DCTO. en productos para el cierre contable.;57760;9074;15.71%
29-dic-2023;Ahorra el 60% en nuestro Libro Blanco y no pagas envío.;296994;30234;10.18%
29-dic-2023;Ahorra el 60% en nuestro Libro Blanco y no pagas envío. ??;57070;7021;12.30%
29-dic-2023;Nuestras herramientas en Excel 100% automatizadas desde solo 38mil.;296955;32137;10.82%
29-dic-2023;Nuestras herramientas en Excel 100% automatizadas ?? desde solo 38mil.;57627;8013;13.90%
29-dic-2023;Ofertas increíbles en plantillas de Excel favoritas de los contadores.;296912;32334;10.89%
29-dic-2023;?? Ofertas increíbles en plantillas de Excel favoritas de los contadores.;57576;7815;13.57%
30-dic-2023;?¡Aprovecha nuestras últimas ofertas del año con descuentos nunca vistos!?;296778;27750;9.35%
30-dic-2023;?¡Aprovecha nuestras últimas ofertas del año con descuentos nunca vistos!? ??;57120;6230;10.91%
31-dic-2023;Si uno de tus propósitos es elevar tu profesión en 2024.¡Aprovecha nuestras ofertas!;296684;23635;7.97%
01-ene-2024;Oferta de reyes: ¡Suscripción Oro con 50% de DCTO.!;298001;35100;11.78%
01-ene-2024;Oferta de reyes: ¡Suscripción Oro con 50% de DCTO.!;36409;3969;10.90%
01-ene-2024;Oferta de reyes: ¡Suscripción Oro con 50% de DCTO.!;2654;431;16.24%
02-ene-2024;3: Vuelve a prepararte para el cierre de año con nuestro Libro Blanco.;91;19;20.88%
02-ene-2024;4: Actualizar tu Excel será CLAVE para el cálculo del impuesto diferido de este año.;133;50;37.59%
02-ene-2024;Con este Excel podrás ayudar a tus clientes a conocer su carga tributaria de este año.;3510;697;19.86%
02-ene-2024;Mejora tu desempeño en el cierre contable: Actualízate a la versión 6.0 de tu herramienta de revisoría.;546;115;21.06%
02-ene-2024;Oferta de reyes: ¡Renovación Oro con 50% de DCTO.!;1803;342;18.97%
02-ene-2024;Oferta de reyes: ¡Upgrade a Oro con 67% de DCTO.!;2712;555;20.46%
02-ene-2024;Te enviamos sin costo el primer libro que leerás en el 2024.;7332;2286;31.18%
03-ene-2024;50% OFF para que comiences el año con una Oro 24.;255281;31394;12.30%
03-ene-2024;50% OFF para que comiences el año con una Oro 24.;27518;2666;9.69%
03-ene-2024;50% OFF para que comiences el año con una Oro 24.;1332;385;28.90%
03-ene-2024;Consigue nuevos clientes con esta plantilla de Excel.;2136;648;30.34%
03-ene-2024;Cuando el tiempo no alcanza, este Excel es la solución.?;2136;648;30.34%
03-ene-2024;Este Excel es el más utilizado para hacer un completo análisis financiero.;1603;242;15.10%
03-ene-2024;Este Excel están usando los revisores fiscales para trabajar en el cierre contable.;2477;456;18.41%
03-ene-2024;Más que un Excel: Esta herramienta realizará el calculo del impuesto diferido por ti.;2328;428;18.38%
03-ene-2024;Si te han gustado los contenidos que has descargado, aprovecha esta oportunidad.;641;134;20.90%
03-ene-2024;Si te han gustado los contenidos que has descargado, aprovecha esta oportunidad.;7429;1221;16.44%
03-ene-2024;Te enviamos sin costo el primer libro que leerás en el 2024.;2504;506;20.21%
04-ene-2024;50% OFF para que comiences el año renovando a una Oro 24.;1820;310;17.03%
04-ene-2024;67% OFF para que comiences el año con una Oro 24.;2655;504;18.98%
04-ene-2024;Este Excel es el más utilizado para hacer un completo análisis financiero.;804;199;24.75%
04-ene-2024;Este Excel están usando los revisores fiscales para trabajar en el cierre contable.;2708;745;27.51%
04-ene-2024;Más que un Excel: Esta herramienta realizará el calculo del impuesto diferido por ti.;806;234;29.03%
05-ene-2024;¡Este año requiere una Suscripción! Adquiere la Oro HOY con 50% de DCTO.;298712;33888;11.34%
05-ene-2024;¡Este año requiere una Suscripción! Adquiere la Oro HOY con 50% de DCTO.;27801;2856;10.27%
05-ene-2024;¡Este año requiere una Suscripción! Reactívate HOY con 50% de DCTO.;2712;402;14.82%
05-ene-2024;50% de DCTO. para que accedas a TODOS los recursos de la Suscripción.;640;111;17.34%
05-ene-2024;50% de DCTO. para que accedas a TODOS los recursos de la Suscripción.;7596;879;11.57%
05-ene-2024;Abre este correo si te han gustado nuestras herramientas avanzadas en Excel.;295;78;26.44%
05-ene-2024;Comienza tu lista de libros del 2024 con este recomendado.;240;64;26.67%
05-ene-2024;Este 2024 continúa trabajando con herramientas en Excel como esta.;530;130;24.53%
05-ene-2024;Exclusivo para Contadores: Únete a World Office Club y Avanza.;89549;20022;22.36%
05-ene-2024;Guía práctica para el cierre contable con 62 anexos en Excel.;68;9;13.24%
06-ene-2024;¡Oferta de Reyes: 50% OFF para que adquieras una Suscripción Oro 24.;298520;39515;13.24%
06-ene-2024;¡Oferta de Reyes: 50% OFF para que adquieras una Suscripción Oro 24.;37354;4174;11.17%
06-ene-2024;Oferta de Reyes: 50% OFF para que renueves a una Oro 24.;1777;316;17.78%
06-ene-2024;Oferta de Reyes: 50% OFF para que te reactives en una Oro 24.;2723;401;14.73%
06-ene-2024;Oferta de Reyes: 67% OFF para que te pases a la Oro 24.;2599;543;20.89%
07-ene-2024;¡Aprovecha Hoy 50% de DCTO.! para que los Reyes No se Lleven tu Oro.;1748;318;18.19%
07-ene-2024;¡Aprovecha Hoy 67% de DCTO.! para que los Reyes No se Lleven tu Oro.;2582;543;21.03%
07-ene-2024;Top 5: Lo más buscado por los contadores en diciembre.;9186;2272;24.73%
08-ene-2024;¡Aprovecha Hoy 50% de DCTO.! para que los Reyes No se Lleven tu Oro.;298364;37883;12.70%
08-ene-2024;¡Aprovecha Hoy 50% de DCTO.! para que los Reyes No se Lleven tu Oro.;37904;4436;11.70%
08-ene-2024;¡Aprovecha Hoy 50% de DCTO.! para que los Reyes No se Lleven tu Oro.;2751;385;13.99%
09-ene-2024;¡Congelamos las tarifas por poco tiempo! Renueva HOY con precios del 2023.;1777;358;20.15%
09-ene-2024;¡Congelamos las tarifas por poco tiempo! Renueva HOY con precios del 2023.;811;173;21.33%
09-ene-2024;Abre este correo si te han gustado nuestras herramientas avanzadas en Excel.;1716;457;26.63%
09-ene-2024;Cierre contable a la vista: Descubre por qué eres clave como revisor fiscal.;4650;1216;26.15%
09-ene-2024;Comienza tu lista de libros del 2024 con este recomendado.;543;186;34.25%
09-ene-2024;Este 2024 continúa trabajando con herramientas en Excel como esta.;883;256;28.99%
09-ene-2024;Guía práctica para el cierre contable con 62 anexos en Excel.;345;120;34.78%
09-ene-2024;No sigas con una Suscripción descontinuada, pásate a Oro con precios del 2023.;2571;600;23.34%
10-ene-2024;¡Congelamos las tarifas por poco tiempo! Reactiva HOY con precios del 2023.;2734;388;14.19%
10-ene-2024;Conoce el Excel ideal para declaraciones de renta de personas jurídicas.?;3567;707;19.82%
10-ene-2024;Descubre las claves del nuevo Estatuto Tributario 2024 PwC.;1592;294;18.47%
10-ene-2024;Excel para proyectar el impuesto de renta de personas naturales AG 2023.;6807;1221;17.94%
10-ene-2024;Guía práctica para el cierre contable con 62 anexos en Excel.;3687;747;20.26%
10-ene-2024;Sé el contador actualizado que las empresas necesitan en el cierre contable.;298063;40626;13.63%
10-ene-2024;Sé el contador actualizado que las empresas necesitan en el cierre contable.;27534;3064;11.13%
11-ene-2024;¡No te arriesgues a quedar atrás! Asegura tu actualización del 2024 con tarifa de 2023.;800;169;21.13%
11-ene-2024;¡Te estás quedando atrás! Mejora tu Suscripción ahora.;2504;510;20.37%
11-ene-2024;Ahorra HORAS de trabajo en este cierre contable 2023.;1938;371;19.14%
11-ene-2024;Conoce el Excel ideal para declaraciones de renta de personas jurídicas.?;767;148;19.30%
11-ene-2024;Descubre las claves del nuevo Estatuto Tributario 2024 PwC.;2115;535;25.30%
11-ene-2024;Excel para proyectar el impuesto de renta de personas naturales AG 2023.;2206;569;25.79%
11-ene-2024;Guía práctica para el cierre contable con 62 anexos en Excel.;1521;410;26.96%
12-ene-2024;¡Te estás perdiendo de las novedades! La versión 6.0 está esperando por ti.;429;88;20.51%
12-ene-2024;¡Te estás quedando atrás! Vuelve a invertir en tu actualización profesional.;2753;393;14.28%
12-ene-2024;Descubre cómo descargar 62 anexos en Excel para tu cierre contable 2023.;511;126;24.66%
12-ene-2024;Excel para proyectar el impuesto de renta de personas naturales AG 2023.;530;145;27.36%
12-ene-2024;Nuevo año, nuevo Estatuto Tributario. ¡Actualiza el tuyo!?;77;22;28.57%
12-ene-2024;Recomendaciones para un cierre contable exitoso.;297650;42221;14.18%
12-ene-2024;Recomendaciones para un cierre contable exitoso.;37494;4887;13.03%
13-ene-2024;Aprovecha los precios de preventa en herramientas para elaborar el formulario 110.;55105;7965;14.45%
13-ene-2024;Aprovecha los precios de preventa en herramientas para elaborar el formulario 110.;297474;39349;13.23%
14-ene-2024;Comienza a ahorrar dinero en actualización gracias a tu Suscripción.;13664;3036;22.22%
15-ene-2024;Con este Excel podrás ayudar a tus clientes a conocer su carga tributaria de este año.;3616;572;15.82%
15-ene-2024;Con esto, este año harás la diferencia en tu desempeño profesional.;297267;39087;13.15%
15-ene-2024;Con esto, este año harás la diferencia en tu desempeño profesional.;26481;3087;11.66%
15-ene-2024;Descubre cómo descargar 62 anexos en Excel para tu cierre contable 2023.;3563;544;15.27%
15-ene-2024;Estás a tiempo de asegurar tu actualización del 2024 con precios de 2023.;3050;510;16.72%
15-ene-2024;Estatuto Tributario: Este debe ser tu primer libro del 2024.;3034;576;18.98%
15-ene-2024;Prepárate con esto para el cierre contable: Tu rol como revisor fiscal es esencial.;3647;614;16.84%
16-ene-2024;¡Comenzó Expo Cierre! Descuentos hasta del 50%;296998;34723;11.69%
16-ene-2024;Compra tu libro con descuento y también te ahorras el envío.;296913;40381;13.60%
16-ene-2024;Oferta Expo Cierre: 40% de DCTO. para que adquirir tu Suscripción.;296966;37752;12.71%
16-ene-2024;Un Excel que resuelve todo. ??????? ¡Hasta 50% OFF para que compres el tuyo!;10070;2605;25.87%
16-ene-2024;?? Compra tu libro con descuento y también te ahorras el envío.;55744;9914;17.78%
16-ene-2024;?? ¡Comenzó Expo Cierre! Descuentos hasta del 50%. ;55919;7809;13.96%
17-ene-2024;Capacitaciones desde solo 52mil sobre cierre contable y fiscal.;296718;37751;12.72%
17-ene-2024;Las 3 herramientas para cierre contable más buscadas.;296654;38769;13.07%
17-ene-2024;Las 3 herramientas para cierre contable más buscadas. ????;55871;9224;16.51%
17-ene-2024;Precios desde solo $70.000 en productos Actualícese.;296762;32799;11.05%
17-ene-2024;Precios desde solo $70.000 en productos Actualícese. ??;55548;7829;14.09%
18-ene-2024;¡Seguimos en Expo Cierre! Aprovecha HOY hasta 50% de DCTO.;296558;32376;10.92%
18-ene-2024;¡Seguimos en Expo Cierre! ?? Aprovecha HOY hasta 50% de DCTO.;55974;7514;13.42%
18-ene-2024;¿Poco presupuesto? Estas ofertas son para ti. ??;9811;2221;22.64%
18-ene-2024;40% de DCTO. para que adquieras tu Suscripción HOY.;296523;35765;12.06%
18-ene-2024;40% de DCTO. para que adquieras tu Suscripción HOY. ??;38466;4837;12.57%
18-ene-2024;Todo tipo de herramientas en Excel desde solo 75mil.;296471;37198;12.55%
19-ene-2024;? Últimas horas de ofertas de Expo Cierre.;55780;8198;14.70%
19-ene-2024;Hoy terminan Expo Cierre y sus ofertas.;261741;26825;10.25%
19-ene-2024;Top 3 de los más buscados en Expo Cierre.;261702;28436;10.87%
19-ene-2024;Top 3 de los más buscados en Expo Cierre. ??;55804;8090;14.50%
19-ene-2024;Últimas horas de ofertas de Expo Cierre.;261672;28976;11.07%
19-ene-2024;?? Hoy terminan Expo Cierre y sus ofertas.;55518;7082;12.76%
20-ene-2024;Extendimos la promo de Expo Cierre en productos de marca propia.;315898;64787;20.51%
20-ene-2024;Extendimos la promo de Expo Cierre en productos de marca propia. ??;55896;7944;14.21%
21-ene-2024;Hasta HOY descuentos de Expo Cierre en productos Actualícese.;294458;38214;12.98%
21-ene-2024;?? Hasta HOY descuentos de Expo Cierre en productos Actualícese.;55790;7566;13.56%
22-ene-2024;¡Prepárate para el 2024! Reactiva tu Suscripción con precios de 2023 hoy.;3175;557;17.54%
22-ene-2024;Este Excel hará destacar tu trabajo contable.;383;88;22.98%
22-ene-2024;Nuestro recomendado para que comiences tu lista de libros del 2024.;340;93;27.35%
22-ene-2024;Nuevo Excel para calcular la tasa mínima de tributación de Declarando Renta 210.;273;83;30.40%
22-ene-2024;Potencia tu carrera con nuestros Packs de Formatos.;37117;4667;12.57%
22-ene-2024;Vuelve a automatizar la declaración de renta de personas jurídicas. ;425;127;29.88%
23-ene-2024;¡Prepárate para el 2024! Renueva tu Suscripción Oro hoy.;1661;334;20.11%
23-ene-2024;¡Prepárate para el 2024! Renueva tu Suscripción Platino hoy.;724;167;23.07%
23-ene-2024;¡Te estás perdiendo de las novedades! La versión 6.0 está esperando por ti.;905;289;31.93%
23-ene-2024;Excel para proyectar el impuesto de renta de personas naturales AG 2023.;1860;543;29.19%
23-ene-2024;Nuevo año, nuevo Estatuto Tributario. ¡Actualiza el tuyo!?;224;90;40.18%
23-ene-2024;Pásate a Oro: Descuento exclusivo del 75%.;2137;463;21.67%
23-ene-2024;Realiza tus declaraciones fácil, rápido y con la Ley 2277 de 2022 aplicada.?;3732;961;25.75%
24-ene-2024;Con este Excel, ya tienes el formulario 110 y formato 2516 resueltos.?;3173;620;19.54%
24-ene-2024;Descubre los 9 pasos clave para un exitoso cierre contable. ¡Te lo contamos!;295704;37032;12.52%
24-ene-2024;Descubre los 9 pasos clave para un exitoso cierre contable. ¡Te lo contamos!;27787;3387;12.19%
24-ene-2024;Este Excel hará destacar tu trabajo contable.;2860;370;12.94%
24-ene-2024;Herramienta clave para contadores: Liquidador de Tasa Mínima de Tributación AG 2023.;892;230;25.78%
24-ene-2024;Llegó tu apoyo a nivel normativo durante el 2024.;3316;520;15.68%
24-ene-2024;Reactiva con tarifas de 2023 antes de que suban los precios.?;3144;605;19.24%
25-ene-2024;Con este Excel, vas a lucirte con tus clientes.;9352;2584;27.63%
25-ene-2024;Este Excel hará destacar tu trabajo contable.;864;222;25.69%
25-ene-2024;Hazte Oro: 75% de descuento para tu upgrade.;2086;405;19.42%
25-ene-2024;Nuestro recomendado para que comiences tu lista de libros del 2024.;565;206;36.46%
25-ene-2024;Nuevo Excel para calcular la tasa mínima de tributación de Declarando Renta 210.;186;45;24.19%
25-ene-2024;Renueva con tarifas de 2023 antes de que suban los precios.?;1641;348;21.21%
25-ene-2024;Renueva con tarifas de 2023 antes de que suban los precios.?;730;141;19.32%
25-ene-2024;Vuelve a automatizar la declaración de renta de personas jurídicas. ;869;257;29.57%
26-ene-2024;Accede a lo máximo en actualización profesional para el contador.;295502;35295;11.94%
26-ene-2024;Accede a lo máximo en actualización profesional para el contador. ??;41160;4746;11.53%
26-ene-2024;Accede a lo máximo en actualización profesional para el contador. ??;1276;211;16.54%
26-ene-2024;Actualiza tu herramienta de revisoría fiscal y sácale provecho a las novedades.;381;85;22.31%
26-ene-2024;Conoce el nuevo Calendario Tributario Automatizado de Norbey Lasso.;39;17;43.59%
26-ene-2024;La herramienta Actualícese 110.xls que tienes está obsoleta. ¡Actualízala aquí!;118;33;27.97%
26-ene-2024;Tu Estatuto Tributario está desactualizado, pásate a la versión 2024.;103;36;34.95%
